,type,etag,videoURL,publishedAt,channelURL,videoTitle,descriptionVideo,videoCoverURL,channelTitle,snippet.defaultLanguage,audioLanguage,duration
10,youtube video,XybVYx2APjVXGSN9Ev892Sy5uKE,youtu.be/cg21JLOr414,2018-01-14T05:31:53Z,youtu.be/cg21JLOr414,Simple Interest Vs Compound Interest: Difference between them with examples & formulas explained,"In this video, we have explained you the important differences between simple interest and compound interest. In addition to this, an introduction of simple interest with suitable example and formula, is discussed. Likewise, compund interest is elucidated, with the help of examples and its formulas. 

Moreover, when compound interest is to be charged semi-annually, quarterly, monthly and so forth, we require conversion period. So, this video also gives an overview of the conversion period using the chart. At the end of this video, you will find the complete explanation of difference between simple and compound interest, using comparison chart. 

You can further study this topic on our official website:- https://keydifferences.com/difference-between-simple-interest-and-compound-interest.html

In keydifferences.com, you can find the substantial differences between two topics.",https://i.ytimg.com/vi/cg21JLOr414/hqdefault.jpg,Key Differences,,,PT18M11S
11,youtube video,IwO21rwhESKpp-q8qJ7FGSKI9CQ,youtu.be/-1AuFUkxbxU,2023-02-03T10:38:06Z,youtu.be/-1AuFUkxbxU,Difference Between Cash Credit and Overdraft (with Comparison Chart),"The video starts with explaining the meaning and concept of cash credit or CC along with the conditons. In the same manner, we have explained the meaning of bank overdraft or OD, along with the two conditions on which OD is provided. 

The video ends with explaining the difference between cash credit and overdraft in an elaborated manner through a comparison chart.

For further reading, visit this link: 
https://keydifferences.com/difference-between-cash-credit-and-overdraft.html

#CashCreditVsOverdraft #CCVsOD #DifferenceBetweenCashCreditAndOverdraft  #DifferenceBetweenCCAndOD #CashCreditAccount #OverdraftFacility #BankOverdraft #MeaningOfCashCredit #MeaningOfOverdraft #WhatIsCashCredit #WhatIsOverdraft #OverdraftLimit",https://i.ytimg.com/vi/-1AuFUkxbxU/hqdefault.jpg,Key Differences,en,en,PT6M54S
12,youtube video,bRCh1TiL-Rc9-mCyJeGpCu9cXIc,youtu.be/tc4LGTVRXV8,2023-02-21T16:00:07Z,youtu.be/tc4LGTVRXV8,"The AI Buzz, Episode #4: ChatGPT + Bing and How to start an AI company in 3 easy steps.","In this episode, Luca and I talk about ChatGPT + Bing, Google vs Microsoft, Artificially learning high order logic,  and how to start an AI company in 3 easy steps. Also, if you want to learn more, check out some of our sources here: https://lightningai.notion.site/Readlog-21-Feb-2023-eb0f44e895ce4c81b5777e6360f1324e

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest #ChatGPT #AIBuzz",https://i.ytimg.com/vi/tc4LGTVRXV8/hqdefault.jpg,StatQuest with Josh Starmer,en,en,PT35M26S
13,youtube video,YnqSzQ7_k3n-GbmUai86AkIAGec,youtu.be/5GqtRXY-80k,2023-02-07T16:00:10Z,youtu.be/5GqtRXY-80k,"The AI Buzz, Episode #3: Constitutional AI, Emergent Abilities and Foundation Models","The AI Buzz is a conversation about the latest trends in AI between me and Luca Antiga, the Chief Technology Officer at Lightning AI. In this episode, we talk about Constitutional AI, the ability of a model to train itself not to say bad words, Emergent Abilities, Foundation Models and Siri vs Foundation Models.

The AI Buzz with Luca and Josh is also a podcast! Check it out on your favorite platform, including Spotify: https://open.spotify.com/show/06580WpFqTt27tIbzBS8VQ?si=d5c72b581bb84fb0

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest",https://i.ytimg.com/vi/5GqtRXY-80k/hqdefault.jpg,StatQuest with Josh Starmer,en,en,PT33M43S
14,youtube video,LhTKGb2SciaUCs-oLsY56hBKGVc,youtu.be/1xBB8iAXxds,2023-01-24T16:00:08Z,youtu.be/1xBB8iAXxds,"The AI Buzz, Episode #2: Big data, Reinforcement Learning and Aligning Models","The AI Buzz is a conversation about the latest trends in AI between me and Luca Antiga, the Chief Technology Officer at Lightning AI. We talk about what's new and why it has the potential to change everything. And, because it's StatQuest, we'll go the extra mile to make sure everything is clearly explained!!!

The AI Buzz with Luca and Josh is also a podcast! Check it out on your favorite platform, including Spotify: https://open.spotify.com/show/06580WpFqTt27tIbzBS8VQ?si=d5c72b581bb84fb0

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest",https://i.ytimg.com/vi/1xBB8iAXxds/hqdefault.jpg,StatQuest with Josh Starmer,en,en,PT36M52S
15,youtube video,oiYEvxjyDiGGrP5IjUi-t4d4Y5s,youtu.be/k3b9Mvtt6lU,2023-01-11T00:26:52Z,youtu.be/k3b9Mvtt6lU,"The AI Buzz, Episode #1: ChatGPT, Transformers and Attention","The AI Buzz is a conversation about the latest trends in AI, plus Q&A, between me and Luca Antiga, the Chief Technology Officer at Lightning AI. We talk about what's new and why it has the potential to change everything. And, because it's StatQuest, we'll go the extra mile to make sure everything is clearly explained!!!

The AI Buzz with Luca and Josh is also a podcast! Check it out on your favorite platform, including Spotify: https://open.spotify.com/show/06580WpFqTt27tIbzBS8VQ?si=d5c72b581bb84fb0

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest",https://i.ytimg.com/vi/k3b9Mvtt6lU/hqdefault.jpg,StatQuest with Josh Starmer,en,en,PT38M21S
16,youtube video,L-2rGaN57qjR_lh2goQaZTIj0kQ,youtu.be/P4aYC1kS4d0,2023-01-19T01:31:03Z,youtu.be/P4aYC1kS4d0,The StatQuest Musical Glossary: Type 1 Errors,"Before writing this song, I could never remember what a Type 1 Error was. Now I'll never forget.

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest #Type1Error #FalsePositive",https://i.ytimg.com/vi/P4aYC1kS4d0/hqdefault.jpg,StatQuest with Josh Starmer,en,en,PT42S
17,youtube video,gfrXO8nhl73qEkqEVATKsV0Apb8,youtu.be/qioNUZGVH1A,2023-01-19T01:32:44Z,youtu.be/qioNUZGVH1A,The StatQuest Musical Glossary: Type 2 Errors,"Before writing this song, I could never remember what a Type 2 Error was. Now I'll never forget.

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest #Type2Error #FalseNegative",https://i.ytimg.com/vi/qioNUZGVH1A/hqdefault.jpg,StatQuest with Josh Starmer,en,en,PT28S
18,youtube video,tyMVVrroKgQ1Gl7TjDgfMBdU4YI,youtu.be/A88rDEf-pfk,2023-01-21T20:59:51Z,youtu.be/A88rDEf-pfk,The StatQuest Musical Glossary: Standardized Data,"Before writing this song, I could never remember what it meant when you standardized your data. Now I'll never forget.

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest #standardized #bam",https://i.ytimg.com/vi/A88rDEf-pfk/hqdefault.jpg,StatQuest with Josh Starmer,en,en,PT29S
19,youtube video,PtKGkoPAnckhUqtE4Thzf5wlSfE,youtu.be/oZ9SrkF_-LE,2023-01-22T13:02:42Z,youtu.be/oZ9SrkF_-LE,The StatQuest Musical Glossary: Normalized Data,"Before writing this song, I could never remember what it meant when you normalized your data. Now I'll never forget.

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest #normalized #bam",https://i.ytimg.com/vi/oZ9SrkF_-LE/hqdefault.jpg,StatQuest with Josh Starmer,en,en,PT34S
20,youtube video,oiYEvxjyDiGGrP5IjUi-t4d4Y5s,youtu.be/k3b9Mvtt6lU,2023-01-11T00:26:52Z,youtu.be/k3b9Mvtt6lU,"The AI Buzz, Episode #1: ChatGPT, Transformers and Attention","The AI Buzz is a conversation about the latest trends in AI, plus Q&A, between me and Luca Antiga, the Chief Technology Officer at Lightning AI. We talk about what's new and why it has the potential to change everything. And, because it's StatQuest, we'll go the extra mile to make sure everything is clearly explained!!!

The AI Buzz with Luca and Josh is also a podcast! Check it out on your favorite platform, including Spotify: https://open.spotify.com/show/06580WpFqTt27tIbzBS8VQ?si=d5c72b581bb84fb0

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest",https://i.ytimg.com/vi/k3b9Mvtt6lU/hqdefault.jpg,StatQuest with Josh Starmer,en,en,PT38M21S
21,youtube video,LhTKGb2SciaUCs-oLsY56hBKGVc,youtu.be/1xBB8iAXxds,2023-01-24T16:00:08Z,youtu.be/1xBB8iAXxds,"The AI Buzz, Episode #2: Big data, Reinforcement Learning and Aligning Models","The AI Buzz is a conversation about the latest trends in AI between me and Luca Antiga, the Chief Technology Officer at Lightning AI. We talk about what's new and why it has the potential to change everything. And, because it's StatQuest, we'll go the extra mile to make sure everything is clearly explained!!!

The AI Buzz with Luca and Josh is also a podcast! Check it out on your favorite platform, including Spotify: https://open.spotify.com/show/06580WpFqTt27tIbzBS8VQ?si=d5c72b581bb84fb0

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest",https://i.ytimg.com/vi/1xBB8iAXxds/hqdefault.jpg,StatQuest with Josh Starmer,en,en,PT36M52S
22,youtube video,YnqSzQ7_k3n-GbmUai86AkIAGec,youtu.be/5GqtRXY-80k,2023-02-07T16:00:10Z,youtu.be/5GqtRXY-80k,"The AI Buzz, Episode #3: Constitutional AI, Emergent Abilities and Foundation Models","The AI Buzz is a conversation about the latest trends in AI between me and Luca Antiga, the Chief Technology Officer at Lightning AI. In this episode, we talk about Constitutional AI, the ability of a model to train itself not to say bad words, Emergent Abilities, Foundation Models and Siri vs Foundation Models.

The AI Buzz with Luca and Josh is also a podcast! Check it out on your favorite platform, including Spotify: https://open.spotify.com/show/06580WpFqTt27tIbzBS8VQ?si=d5c72b581bb84fb0

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest",https://i.ytimg.com/vi/5GqtRXY-80k/hqdefault.jpg,StatQuest with Josh Starmer,en,en,PT33M43S
23,youtube video,bRCh1TiL-Rc9-mCyJeGpCu9cXIc,youtu.be/tc4LGTVRXV8,2023-02-21T16:00:07Z,youtu.be/tc4LGTVRXV8,"The AI Buzz, Episode #4: ChatGPT + Bing and How to start an AI company in 3 easy steps.","In this episode, Luca and I talk about ChatGPT + Bing, Google vs Microsoft, Artificially learning high order logic,  and how to start an AI company in 3 easy steps. Also, if you want to learn more, check out some of our sources here: https://lightningai.notion.site/Readlog-21-Feb-2023-eb0f44e895ce4c81b5777e6360f1324e

If you'd like to support StatQuest, please consider...
Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...buying my book, a study guide, a t-shirt or hoodie, or a song from the StatQuest store...
https://statquest.org/statquest-store/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#StatQuest #ChatGPT #AIBuzz",https://i.ytimg.com/vi/tc4LGTVRXV8/hqdefault.jpg,StatQuest with Josh Starmer,en,en,PT35M26S
24,youtube video,fhG0tmWMhHkomwPuRpsO5SYZ6Bs,youtu.be/qBigTkBLU6g,2017-09-25T13:38:28Z,youtu.be/qBigTkBLU6g,"StatQuest: Histograms, Clearly Explained","Histograms are one of the most basic statistical tools that we have. They are also one of the most powerful and most frequently used. However, they are not without pitfalls... So this StatQuests covers the essential information that you need to have to make the most of histograms.

For a complete index of all the StatQuest videos, check out:
https://statquest.org/video-index/

If you'd like to support StatQuest, please consider...

Buying The StatQuest Illustrated Guide to Machine Learning!!!
PDF - https://statquest.gumroad.com/l/wvtmc
Paperback - https://www.amazon.com/dp/B09ZCKR4H6
Kindle eBook - https://www.amazon.com/dp/B09ZG79HXC

Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...a cool StatQuest t-shirt or sweatshirt: 
https://shop.spreadshirt.com/statquest-with-josh-starmer/

...buying one or two of my songs (or go large and get a whole album!)
https://joshuastarmer.bandcamp.com/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#statquest #statistics #histogram",https://i.ytimg.com/vi/qBigTkBLU6g/hqdefault.jpg,StatQuest with Josh Starmer,en,en,PT3M42S
25,youtube video,hHhZr3jubV0XmT1uU8bmNWP0P30,youtu.be/oI3hZJqXJuc,2017-04-17T17:55:46Z,youtu.be/oI3hZJqXJuc,The Main Ideas behind Probability Distributions,"Here we demystify what a probability distribution is. It's not complicated, and we'll build on this in the coming weeks.

For a complete index of all the StatQuest videos, check out:
https://statquest.org/video-index/

If you'd like to support StatQuest, please consider...

Buying The StatQuest Illustrated Guide to Machine Learning!!!
PDF - https://statquest.gumroad.com/l/wvtmc
Paperback - https://www.amazon.com/dp/B09ZCKR4H6
Kindle eBook - https://www.amazon.com/dp/B09ZG79HXC

Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...a cool StatQuest t-shirt or sweatshirt: 
https://shop.spreadshirt.com/statquest-with-josh-starmer/

...buying one or two of my songs (or go large and get a whole album!)
https://joshuastarmer.bandcamp.com/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#statquest #statistics",https://i.ytimg.com/vi/oI3hZJqXJuc/hqdefault.jpg,StatQuest with Josh Starmer,en,en,PT5M15S
26,youtube video,4Y8K4oLSk3H5lUMoJ4gnirjC2_Y,youtu.be/rzFX5NWojp0,2017-10-09T15:12:09Z,youtu.be/rzFX5NWojp0,"The Normal Distribution, Clearly Explained!!!","The normal, or Gaussian, distribution is the most common distribution in all of statistics. Here I explain the basics of how these distributions are created and how they should be interpreted.

For a complete index of all the StatQuest videos, check out:
https://statquest.org/video-index/

If you'd like to support StatQuest, please consider...

Buying The StatQuest Illustrated Guide to Machine Learning!!!
PDF - https://statquest.gumroad.com/l/wvtmc
Paperback - https://www.amazon.com/dp/B09ZCKR4H6
Kindle eBook - https://www.amazon.com/dp/B09ZG79HXC

Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...a cool StatQuest t-shirt or sweatshirt: 
https://shop.spreadshirt.com/statquest-with-josh-starmer/

...buying one or two of my songs (or go large and get a whole album!)
https://joshuastarmer.bandcamp.com/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

#statquest #statistics",https://i.ytimg.com/vi/rzFX5NWojp0/hqdefault.jpg,StatQuest with Josh Starmer,,en,PT5M13S
27,youtube video,LKB3o5MzpFg6deEqQXJsJ3odHU4,youtu.be/vikkiwjQqfU,2019-07-01T17:30:00Z,youtu.be/vikkiwjQqfU,"Population and Estimated Parameters, Clearly Explained!!!","One of the most basic and most important thing we can do in statistics is estimate population parameters. This video explains what population parameters are and how they are used to gain insight into the world around us.

NOTE: This StatQuest assumes are already familiar with...

...Histograms: https://youtu.be/qBigTkBLU6g
...Statistical Distributions: https://www.youtube.com/watch?v=oI3hZJqXJuc
...and the Normal Distribution: https://youtu.be/rzFX5NWojp0

...and if you want to learn more about Confidence Intervals, check out this 'Quest: https://www.youtube.com/watch?v=TqOeMYtOc1w

For a complete index of all the StatQuest videos, check out:
https://statquest.org/video-index/

If you'd like to support StatQuest, please consider...

Buying The StatQuest Illustrated Guide to Machine Learning!!!
PDF - https://statquest.gumroad.com/l/wvtmc
Paperback - https://www.amazon.com/dp/B09ZCKR4H6
Kindle eBook - https://www.amazon.com/dp/B09ZG79HXC

Patreon: https://www.patreon.com/statquest
...or...
YouTube Membership: https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw/join

...a cool StatQuest t-shirt or sweatshirt: 
https://shop.spreadshirt.com/statquest-with-josh-starmer/

...buying one or two of my songs (or go large and get a whole album!)
https://joshuastarmer.bandcamp.com/

...or just donating to StatQuest!
https://www.paypal.me/statquest

Lastly, if you want to keep up with me as I research and create new StatQuests, follow me on twitter:
https://twitter.com/joshuastarmer

Correction:
2:16 I meant to say 10 and 30. However, you should still get the point either way.

#statquest #statistics",https://i.ytimg.com/vi/vikkiwjQqfU/hqdefault.jpg,StatQuest with Josh Starmer,en,en,PT14M31S
